product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
1slxdgbgWFax,Toys,50,16,5,11
77PgsiElQLeB,Electronics,200,21,7,14
QVlD26X1y7NI,"Furniture Decor",1000,100,5,20
yWlFGkKYfrpa,Toys,8950,40,30,40
h6MCbrwh5kiC,Toys,2301,32,35,34
CApN1zdCu8Ad,Toys,400,22,27,27
HOJj2KbHY8er,Toys,12850,36,56,56
bKrL5OryV9HU,Toys,18800,60,40,42
7ba9znpcLheP,Toys,375,16,8,11
TLhoqYaQLJ5g,Toys,200,16,16,16
EG4wDSpFyTth,"Health Beauty",250,22,10,18
hoFRvSkFE7Xv,"Home Appliances",950,25,11,15
YLYPEDYgvdfH,Toys,250,23,13,21
XnVJHXWoT9t9,Toys,3100,30,30,30
cDHQRx6Mr5x7,Toys,100,19,3,11
cKboTGrWp54z,Toys,2600,17,17,60
MUIEAN159RuU,Baby,450,30,7,20
W5lSpNbHbIjE,Toys,1150,33,4,28
claM69kKTNfa,Toys,450,27,16,27
aUvBxYvPYgvN,Toys,350,17,4,12
ccg64CBDaXEK,Toys,1100,24,21,16
C0fYrgNXAm4X,Toys,700,30,36,20
hBVeRiNmH8jL,Toys,3625,29,38,26
8IhgV2nH9kXE,"Health Beauty",700,25,12,19
F7VM3KqshbPZ,"Bed Table",1300,43,5,30
rfAfXKCzKmqX,Toys,367,17,12,12
fBYJ0RAV9NzF,Perfumery,400,18,18,12
mHI4NBBHLa3q,Toys,150,16,9,11
p9owG1LeMQyo,Toys,2100,30,24,25
q1g2MXdXLhY1,Toys,450,45,15,35
dUoMatEvc2jC,"Food Drink",600,28,15,20
EtByr6hYFH77,Toys,850,25,18,40
74QWytNFaRdz,Toys,200,18,14,17
fv7KNAysdXlN,Toys,260,21,16,20
wfUecfuVgluN,Toys,725,30,9,27
uX3peyoIafeb,Toys,1700,42,10,36
cSXYaf2R23NY,Housewares,300,35,4,15
mJHxwcpqG1n6,Toys,400,24,7,14
Y9RZLlJmz7ht,Toys,125,16,12,12
mlh1QSbPODrn,Toys,800,42,36,25
LACwfilTTi3G,Toys,9325,50,18,28
0zCNWMABd3aW,Baby,2300,65,15,15
50ddJtKO3HR1,Toys,3150,39,30,29
XoreWdNE59ms,Toys,200,16,9,11
6QtH1B0l31bh,Toys,2800,36,11,26
g2nsxyGqPtjO,Toys,275,23,18,28
GBRpbhWI9MRb,Toys,2200,22,22,22
xQOinugRH3hN,"Furniture Decor",1600,24,27,39
S1AbuPvAdHZx,Toys,600,17,22,20
qDgjT36KwfcF,"Furniture Decor",2500,40,10,30
i1Clmz1s1Y35,Toys,200,16,2,11
Rugpsd6wUZpm,"Watches Gifts",757,19,14,15
5Nm9KRKxfEOi,Toys,3500,55,5,40
G0Jl0sANrl5j,Toys,1600,38,7,28
i8rOWNVCU8SG,Toys,200,17,11,15
7ymC4wrimXhe,Toys,1350,30,20,20
x5U2lQcr1Slp,Toys,550,17,28,11
HMrkOFFXRiNb,Toys,400,30,20,25
4DMLAKWbfjYB,Toys,7400,80,15,60
o0wzlENKuuPY,Toys,600,17,17,17
y2MAnns4G96G,"Computers Accessories",207,19,11,14
8EMcxO7AFhVP,Toys,180,17,10,13
pnQbUcmERqLT,Toys,250,16,16,16
eySkDvowFkGC,Toys,700,41,13,26
OyNjP3ysqnRA,"Health Beauty",1250,42,11,12
UhiYwrBc5ixN,Perfumery,442,23,15,17
gyCm1QS60Z2r,Toys,500,40,15,40
XicPOT40hSxE,Electronics,501,19,10,91
DMB6KqQisnZE,Toys,400,20,5,21
65N5NNUZppq6,Toys,700,25,10,25
JNVFLT1PwSb6,Toys,2000,30,12,16
zgeloe0hFyo4,Toys,150,16,5,20
Lqe98dYBeetq,Toys,950,40,5,30
Pb29t2XBfP6Q,"Furniture Decor",700,35,4,30
mCDJ1miTla4u,Toys,350,16,12,14
Zi9DvAJMTNK7,Toys,390,23,14,17
idj1HKBW8p4Y,Toys,200,25,2,17
6j4YiywQs19u,Toys,5100,13,76,41
2H4WpZ0EIw4e,Perfumery,550,19,13,18
E1esbswKYvev,Telephony,325,20,15,14
iKnmCaCAMSTw,Toys,4100,53,21,36
wUg0kOtAM0q5,Toys,1100,20,30,30
poyljoTAnq9L,Toys,900,44,2,36
yTJSPjwF1iY0,Toys,650,16,10,11
6lqYiC1kC4WA,Toys,2425,29,30,19
tzs5x0lLkB4v,Toys,117,21,12,13
F1FBNZnox1VK,"Garden Tools",16400,100,30,30
BKF4Stwoyt2S,"Home Construction",900,32,24,11
oo5YFvkDJXfS,Toys,250,16,2,20
K8lKuHK7ZRsb,Toys,7600,30,31,38
NRdnqAmNJ3Gg,Toys,400,31,5,16
7ymC4wrimXhe,Toys,1350,30,20,20
diXfR20Ry7N3,"Computers Accessories",200,20,15,15
7rmvkmjvPkYA,"Furniture Decor",800,40,5,11
y5FI0l0HjdGT,"Computers Accessories",217,16,14,14
TznsJjXJH6cK,Toys,1700,25,25,25
D984F4DTEtgY,"Costruction Tools",400,16,2,11
kUApGiacE8R7,Toys,50,18,18,12
RepVMI5KCfFQ,Toys,475,35,21,30
rjqk8lHzimCk,Toys,250,27,13,17
oRWowdRxzkkE,Toys,300,20,9,15
0vxqaoazyUrJ,Toys,700,30,30,40
oF8tGJeHNeOE,Toys,250,16,10,16
HpuiH593gmeG,Toys,350,25,8,19
pTrK5MYzL4Ca,"Computers Accessories",233,16,14,15
z3XHloP0B6UK,Toys,150,16,7,16
A7oAK6cYaqZ4,Auto,400,20,20,20
WhlDdQRsqlZh,"Garden Tools",600,16,7,22
RXVEkfBO6tx3,Toys,100,16,7,11
DLKkjtQJpeYz,Toys,700,38,15,27
iaPbzG31q0Vz,Toys,4000,43,35,18
O332ZRndALYI,Toys,4800,22,63,22
n8NlUmLkElPr,Toys,1100,32,16,16
HhAtKukEU7VT,Toys,1867,36,6,36
qKdBzmQEGR6b,Toys,200,20,15,15
eICb94TD3JP8,Toys,7950,46,7,46
y2MAnns4G96G,"Computers Accessories",207,19,11,14
icdtCDkjpSZQ,Toys,342,18,13,15
RL7OKDCyY23o,Toys,350,16,5,20
QzAC1fDWMbmk,Toys,100,11,11,11
T04Mxb5gFcXd,Toys,300,23,8,19
BuMA9g0RCLlr,Toys,450,16,7,11
pTx5wvuygQnb,"Consoles Games",250,19,2,14
5EFBA7VYOItK,Toys,321,19,14,13
PmU4zDs3ZA49,Toys,400,40,20,20
MQlNR59cgOB2,Toys,1535,49,8,21
t9T0NG1QQIGI,Toys,6900,26,26,26
iUMmZb8oh0qu,Toys,573,35,13,11
HwPbP5N2qWCP,Toys,133,20,10,16
aiiImX7Pk53m,Toys,1147,25,21,19
J3RLg1Bwun4Q,Toys,350,24,29,16
Z0vMyDM0FvZn,Stationery,1000,36,6,29
0eU2pGKaTuqj,Toys,5000,50,20,20
7C0EFvQcwqRI,Toys,5900,40,40,40
1rFoOcG1sQwB,Toys,100,40,2,24
AiKnucErxdfC,"Home Appliances",4920,65,11,33
sNAAI52Ft4Yx,"Cool Stuff",150,16,7,12
VE1XRfifT9hb,"Luggage Accessories",450,24,47,34
dfAHqNQcTm3T,Toys,138,19,17,16
Biwi1BNtUB7l,Toys,1500,30,22,30
ZWyg4uNWPHjJ,Toys,250,16,2,11
pmQFBLygQ1oH,Toys,100,16,11,12
X4L5ori5hRm1,Toys,1850,46,12,43
Biwi1BNtUB7l,Toys,1500,30,22,30
wipKQnoUkikl,Toys,3100,27,27,27
OV8uYkcbbZld,"Watches Gifts",450,16,2,20
VAS6Q8niNy2w,Toys,233,22,16,14
w6wfCWzpQ78I,Toys,300,22,10,15
kEslzWCkm0ZL,Toys,175,24,3,17
8P6w1wVsyDsG,Toys,1150,25,23,25
0p1rNofm8oi9,Baby,9400,75,15,50
OfYbf6ptQ7S0,Toys,11600,65,19,47
NkygN5yTKOgI,Toys,1400,26,41,26
ro08JPncYzLh,"Garden Tools",1650,30,22,30
Usi90p4RKMY1,"Health Beauty",434,20,16,18
xJRyPvJqgafI,Toys,1175,34,20,22
3NEukCGJjNCr,"Sports Leisure",2433,30,24,24
IWTKXtyQPnuB,Toys,200,20,10,15
GvBzGCvvIC2D,Toys,1000,53,8,18
0DGoM1aFJKQb,Toys,450,20,12,15
4RokZRqcffze,Toys,1950,35,12,23
yctXoGaUcJuM,Toys,600,18,9,13
BEAPTXoPz01D,Toys,1075,17,13,15
gCcVSdlEOuof,Toys,17550,73,20,47
8EMcxO7AFhVP,Toys,180,17,10,13
O332ZRndALYI,Toys,4800,22,63,22
qh5eo3eA22JD,Toys,7150,17,8,32
LjzRT54degE3,Toys,500,30,6,23
sAZlZF7GJJdr,"Bed Table",350,16,10,16
ojAhyTeUlmLS,"Sports Leisure",500,22,15,22
JKVUiz45iGB8,Toys,1614,31,16,28
yN7QdW9omLo6,"Home Appliances",700,20,6,11
gq42NYmDYSH7,Toys,9225,61,61,30
VcU0FP9DjfBt,Toys,550,40,5,30
VkLNxVykNlKl,Toys,880,28,6,17
M1QehWDYrOKu,Toys,1800,52,5,52
ooMfhtJJiM8o,"Health Beauty",300,16,9,15
UMLfE5ekvVL1,Housewares,16000,30,30,30
dooIJeivMlv6,Toys,150,19,12,16
1R8bu0R8h2Pg,Toys,16300,50,30,50
rKXoWNJxVSE7,Toys,6050,20,20,20
0qtItiuCYJLB,Toys,1800,35,20,30
eWXIxR3gWdjy,Toys,2450,30,12,16
wEXYeIBMtNpz,Toys,1700,65,6,50
SLTlrWtcYt1m,Toys,1750,37,22,40
Z0u1lpfu5xfm,Toys,400,16,9,11
DL5BHCpE7rrL,"Bed Table",835,40,9,33
b73bpEzJgugQ,Toys,275,18,4,12
ifOyaTorkIqj,Computers,12000,27,50,53
noHAJVjnfbjD,Toys,6513,64,37,38
hmEnk83HcG3e,Toys,10050,60,20,50
rfsGZzBijANi,Toys,1600,30,5,30
1edaUIVffPFF,"Watches Gifts",584,16,11,13
orUwK0JfotYQ,Toys,300,40,4,30
rymjv5HRykTB,Perfumery,249,19,13,15
1JgqZUMnHeh7,Toys,600,16,2,11
i8rOWNVCU8SG,Toys,200,17,11,15
1ffebT9EkzfW,"Health Beauty",300,19,12,13
tzs5x0lLkB4v,Toys,117,21,12,13
ESxhVTp3TExr,Toys,100,20,20,20
WRnS90YSEbaf,Toys,200,29,7,16
y2MAnns4G96G,"Computers Accessories",207,19,11,14
tXJHUVp8RdE6,Housewares,1270,17,14,17
fgZthIy5sipF,Toys,200,14,13,12
sFXdhNPN6lcL,Toys,2725,43,50,28
J5Psrq96uL2D,Toys,1850,30,30,30
PFZYJm6Ju6Cb,"Sports Leisure",2120,26,25,25
pEOKGWW2dBY3,Toys,300,16,30,20
oW6KDobidlmB,Toys,950,45,15,35
ruksAzpogPAJ,Toys,250,16,2,20
blPFUTjOGNza,Toys,700,45,15,35
lZfc4Rcm9yEU,Toys,250,17,4,12
o6Na5dqQ8W2g,"Watches Gifts",314,18,11,14
VcRU5d314wk8,Toys,16550,22,65,40
CgiKx9mLmcsp,"Sports Leisure",800,27,12,14
jjO7ZavQamGy,Toys,600,50,8,40
JluFNsoIYaG0,Toys,300,16,6,14
c80mGAlXdCTR,Toys,389,27,33,28
FgsLb5eMMaQv,Toys,1400,45,30,20
x7LQ6tCvXa0m,Toys,1038,41,22,28
Ffe8gTdmyO3U,Toys,533,22,11,20
HgPeZx2cXbNh,Toys,5000,61,34,36
7BEUiOxC03oh,Toys,500,16,18,16
ecpXxsHx9yeV,Toys,6200,76,28,18
wPUdAGg8JMPE,Toys,400,30,30,40
x5cG8pNAAlzt,Auto,1300,21,11,16
YVfSZ6AGWq2b,Toys,100,16,10,16
w47Os1mXLhR7,Toys,1200,28,5,18
jXEbnLl3rA9M,Toys,1750,50,20,50
u2yFcYxEYD3S,Toys,2300,40,20,30
mKCML8bJ9XFK,Telephony,300,16,2,11
sB3mH3n4QEcI,Toys,1300,50,9,41
zXA7JMshoWTW,Toys,2000,20,40,30
zHp21bETKvVI,"Bed Table",450,16,10,16
H7Jow3IJvnEB,Toys,13325,41,42,47
m2BXGAfmaOtK,Toys,450,20,10,15
rZmvB2yPujM0,Toys,300,16,20,15
cTBa7ZYgU5YF,Toys,550,24,13,20
GhHaQE7pQ8l0,Toys,2050,20,15,20
l1MvfyxTwnwn,Toys,12500,35,30,30
VIzCnu7ZJnPS,Toys,7750,34,33,33
GwC5CQRLSWF4,Toys,1500,55,5,16
NBOvMLOgVscO,Toys,1750,30,5,30
aQBQT96o3CEF,Toys,3598,41,18,51
bpESrZraPGiK,Toys,2200,100,7,11
dAz11YkQkoue,"Health Beauty",100,20,15,15
nRkDfT1MBebs,Toys,10500,53,73,18
yifYVWda6kIz,Toys,147,14,10,12
xaj9BPzCaOyC,Telephony,150,18,3,12
WYpoxZl2lCCd,Toys,1800,30,5,30
